Servicio Meteorológico Nacional
Red: SMN
Estación: SANQUINTIN
Estado: Baja California
Municipio: Ensenada
Latitud (N): 30.53166667
Longitud (O): -115.8375
Altitud: 32

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2023-04-04 01:40:00,2023-04-04 07:40:00,342.0,344.0,8.8,11.2,8.9,76,1014,0,0,
2023-04-04 01:30:00,2023-04-04 07:30:00,345.0,343.0,8.9,11.9,9.1,75,1014,0,0,
2023-04-04 01:20:00,2023-04-04 07:20:00,345.0,347.0,9.8,14,9.3,74,1013.9,0,0,
2023-04-04 01:10:00,2023-04-04 07:10:00,342.0,346.0,10.8,14.4,9.4,74,1013.9,0,0,
2023-04-04 01:00:00,2023-04-04 07:00:00,344.0,341.0,11.1,15.1,9.6,73,1013.9,0,0,
2023-04-04 00:50:00,2023-04-04 06:50:00,344.0,340.0,11.5,16.6,9.7,73,1013.8,0,0,
2023-04-04 00:40:00,2023-04-04 06:40:00,347.0,346.0,13.1,17.6,10,71,1013.9,0,0,
2023-04-04 00:30:00,2023-04-04 06:30:00,346.0,350.0,15.3,19.8,10.1,71,1013.9,0,0,
2023-04-04 00:20:00,2023-04-04 06:20:00,346.0,347.0,16.1,22,10.1,71,1013.9,0,0,
2023-04-04 00:10:00,2023-04-04 06:10:00,349.0,350.0,14.8,22,10.2,70,1013.9,0,0,
2023-04-04 00:00:00,2023-04-04 06:00:00,349.0,348.0,15.9,19.8,10.1,70,1013.9,0,0,
2023-04-03 23:50:00,2023-04-04 05:50:00,348.0,346.0,14.7,19.1,10.2,69,1013.9,0,0,
2023-04-03 23:40:00,2023-04-04 05:40:00,347.0,347.0,14.5,19.4,10.4,68,1013.9,0,0,
2023-04-03 23:30:00,2023-04-04 05:30:00,342.0,345.0,14.4,22,10.5,68,1013.8,0,0,
2023-04-03 23:20:00,2023-04-04 05:20:00,341.0,350.0,14.1,19.8,10.6,68,1013.8,0,0,
2023-04-03 23:10:00,2023-04-04 05:10:00,343.0,343.0,15.2,22.3,10.7,68,1013.8,0,0,
2023-04-03 23:00:00,2023-04-04 05:00:00,339.0,345.0,14.3,20.2,10.8,68,1013.7,0,0,
2023-04-03 22:50:00,2023-04-04 04:50:00,343.0,343.0,14.4,20.5,11,68,1013.6,0,0,
2023-04-03 22:40:00,2023-04-04 04:40:00,333.0,332.0,12.7,19.1,11.3,66,1013.6,0,0,
2023-04-03 22:30:00,2023-04-04 04:30:00,331.0,334.0,14.8,22.7,11.4,65,1013.5,0,0,
2023-04-03 22:20:00,2023-04-04 04:20:00,329.0,335.0,12.8,19.4,11.4,66,1013.3,0,0,
2023-04-03 22:10:00,2023-04-04 04:10:00,328.0,337.0,14.3,24.1,11.5,69,1013.3,0,0,
2023-04-03 22:00:00,2023-04-04 04:00:00,329.0,344.0,14.6,20.2,11.5,70,1013.1,0,0,
2023-04-03 21:50:00,2023-04-04 03:50:00,329.0,334.0,14.1,23.8,11.5,69,1013,0,0,
2023-04-03 21:40:00,2023-04-04 03:40:00,326.0,318.0,14.8,20.9,11.6,67,1012.8,0,0,
2023-04-03 21:30:00,2023-04-04 03:30:00,325.0,333.0,14.7,22,11.6,66,1012.7,0,0,
2023-04-03 21:20:00,2023-04-04 03:20:00,324.0,343.0,15.4,24.8,11.6,66,1012.6,0,0,
2023-04-03 21:10:00,2023-04-04 03:10:00,327.0,338.0,16.2,25.6,11.7,66,1012.6,0,0,
2023-04-03 21:00:00,2023-04-04 03:00:00,328.0,338.0,15.3,28.8,11.7,65,1012.6,0,0,
2023-04-03 20:50:00,2023-04-04 02:50:00,327.0,338.0,15.1,25.9,11.8,64,1012.6,0,0,
2023-04-03 20:40:00,2023-04-04 02:40:00,327.0,324.0,13.8,24.8,11.9,64,1012.6,0,0,
2023-04-03 20:30:00,2023-04-04 02:30:00,325.0,319.0,15.3,27.7,11.9,63,1012.5,0,0,
2023-04-03 20:20:00,2023-04-04 02:20:00,322.0,328.0,13.8,22.7,12.1,62,1012.5,0,0,
2023-04-03 20:10:00,2023-04-04 02:10:00,316.0,314.0,18.4,27.7,12.2,61,1012.5,0,0,
2023-04-03 20:00:00,2023-04-04 02:00:00,321.0,322.0,17.4,27.4,12.4,59,1012.5,0,0,
2023-04-03 19:50:00,2023-04-04 01:50:00,318.0,314.0,20.6,35.6,12.7,58,1012.3,0,6,
2023-04-03 19:40:00,2023-04-04 01:40:00,314.0,319.0,20,30.2,12.9,60,1012.3,0,35,
2023-04-03 19:30:00,2023-04-04 01:30:00,316.0,305.0,21.6,32.4,13.2,57,1012.2,0,67,
2023-04-03 19:20:00,2023-04-04 01:20:00,312.0,298.0,21.2,35.6,13.4,56,1012.2,0,99,
2023-04-03 19:10:00,2023-04-04 01:10:00,316.0,300.0,20.5,35.3,13.7,55,1012.1,0,130,
2023-04-03 19:00:00,2023-04-04 01:00:00,312.0,303.0,21.7,31.3,13.8,53,1012.2,0,168,
2023-04-03 18:50:00,2023-04-04 00:50:00,316.0,312.0,21.7,37.1,13.9,52,1012.3,0,208,
2023-04-03 18:40:00,2023-04-04 00:40:00,316.0,311.0,23.1,33.5,14,53,1012.3,0,251,
